Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price
Amazon,2019,Sep,IGDB,?,United States,?
Amazon,2019,Sep,INLT,?,United States,?
Amazon,2020,Jun,Zoox,?,United States,"1,200,000,000.00"
Amazon,2020,Dec,Wondery,?,United States,?
Amazon,2021,Jan,Umbra 3D,?,Finland,?
Amazon,2021,May,Dbbest,?,United States,?
Amazon,2021,May,Metro-Goldwyn-Mayer,?,United States,"8,450,000,000.00"
Amazon,2021,Jun,Art19,?,United States,?
Amazon,2021,Jun,Wickr,?,United States,?
Amazon,2021,Nov,Veeqo,?,United Kingdom,?
Amazon,2022,Mar,Strio.AI,?,United States,?
Amazon,2022,Apr,GlowRoad,?,India,?
Amazon,2022,Jul,One Medical,?,United States,"3,900,000,000.00"
Amazon,2022,Sep,Cloostermans,?,Belgium,?
Amazon,2022,Nov,Spirit.ai,?,United Kingdom,?
Amazon,2023,Aug,Fig,?,United States,?
Google,2001,Feb,DejaNews,Usenet,United States,?
Google,2001,Sep,Outride,Web search engine,United States,?
Google,2003,Feb,Pyra Labs,Weblog software,United States,?
Google,2003,Apr,Neotonic Software,Customer relationship management,United States,?
Google,2003,Apr,Applied Semantics,Online advertising,United States,"102,000,000.00"
Google,2003,Sep,Kaltix,Web search engine,United States,?
Google,2003,Oct,Sprinks,Online advertising,United States,?
Google,2003,Oct,Genius Labs,Blogging,United States,?
Google,2004,May,Ignite Logic,HTML editor,United States,?
Google,2004,Jul,Picasa,Image organizer,United States,?
Google,2004,Sep,ZipDash,Traffic analysis,United States,?
Google,2004,Oct,Where2,Map analysis,Australia,?
Google,2004,Oct,Keyhole,Map analysis,United States,?
Google,2005,Mar,Urchin Software Corporation,Web analytics,United States,?
Google,2005,May,Dodgeball,Social networking service,United States,?
Google,2005,Jul,Akwan Information Technologies,Search engines,Brazil,?
Google,2005,Jul,Reqwireless,Mobile browser,Canada,?
Google,2005,Aug,Android,Mobile operating system,United States,"50,000,000.00"
Google,2005,Nov,Skia,Graphics library,United States,?
Google,2005,Dec,Phatbits,Widget engine,United States,?
Google,2005,Dec,allPAY,Mobile software,Germany,?
Google,2005,Dec,bruNET,Mobile software,Germany,?
Google,2006,Jan,dMarc Broadcasting,Advertising,United States,"102,000,000.00"
Google,2006,Feb,Measure Map,Weblog software,United States,?
Google,2006,Mar,Upstartle,Word processor,United States,?
Google,2006,Mar,@Last Software,3D modeling software,United States,?
Google,2006,Apr,Orion,Web search engine,Australia,?
Google,2006,Jun,2Web Technologies,Online spreadsheets,United States,?
Google,2006,Aug,Neven Vision Germany,Computer vision,Germany,?
Google,2006,Oct,YouTube,Video sharing,United States,"1,650,000,000.00"
Google,2006,Oct,JotSpot,Web application,United States,?
Google,2006,Dec,Endoxon,Mapping,Switzerland,"28,000,000.00"
Google,2007,Feb,Adscape,In-game advertising,United States,"23,000,000.00"
Google,2007,Mar,Trendalyzer,Statistical software,Sweden,?
Google,2007,May,Crusix,Social networking service,United States,?
Google,2007,Apr,Tonic Systems,Presentation program,United States,?
Google,2007,Apr,Marratech,Videoconferencing,Sweden,"15,000,000.00"
Google,2007,Apr,DoubleClick,Online advertising,United States,"3,100,000,000.00"
Google,2007,May,GreenBorder,Computer security,United States,?
Google,2007,Jun,Panoramio,Photo sharing,Spain,?
Google,2007,Jun,FeedBurner,Web feed,United States,"100,000,000.00"
Google,2007,Jun,PeakStream,Parallel processing,United States,?
Google,2007,Jun,Zenter,Presentation program,United States,?
Google,2007,Jul,GrandCentral,Voice over IP,United States,"45,000,000.00"
Google,2007,Jul,ImageAmerica,Aerial photography,United States,?
Google,2007,Jul,Postini,Communications security,United States,"625,000,000.00"
Google,2007,Sep,Zingku,Social networking service,United States,?
Google,2007,Oct,Jaiku,Microblogging,Finland,?
Google,2008,Jul,Omnisio,Online video,United States,"15,000,000.00"
Google,2008,Sep,TNC,Weblog software,South Korea,?
Google,2009,Aug,On2,Video compression,United States,"133,000,000.00"
Google,2009,Sep,reCAPTCHA,Security,United States,?
